log_id,run_id,requested_duty,applied_duty,occupants_equiv,blocked_reason,recorded_at
463,1,0,0,0.00,,2026-09-03T14:12:29.137556+00:00
464,1,0,0,0.00,,2026-09-03T14:13:00.747757+00:00
465,1,0,0,0.00,,2026-09-03T14:13:32.167511+00:00
466,1,0,0,0.00,,2026-09-03T14:14:03.773379+00:00
467,1,0,0,0.00,,2026-09-03T14:14:35.477723+00:00
468,1,100,0,0.00,PHYSICAL_POWER_OFF_CONFIRMED_BY_OPERATOR,2026-09-03T14:15:07.143662+00:00
469,1,100,0,0.00,PHYSICAL_POWER_OFF_CONFIRMED_BY_OPERATOR,2026-09-03T14:15:39.037898+00:00
470,1,100,0,0.00,PHYSICAL_POWER_OFF_CONFIRMED_BY_OPERATOR,2026-09-03T14:16:10.710349+00:00
471,1,100,0,0.00,PHYSICAL_POWER_OFF_CONFIRMED_BY_OPERATOR,2026-09-03T14:16:42.237274+00:00
472,1,100,0,0.00,PHYSICAL_POWER_OFF_CONFIRMED_BY_OPERATOR,2026-09-03T14:17:13.617126+00:00
473,1,100,0,0.00,PHYSICAL_POWER_OFF_CONFIRMED_BY_OPERATOR,2026-09-03T14:17:44.956847+00:00
474,1,100,0,0.00,PHYSICAL_POWER_OFF_CONFIRMED_BY_OPERATOR,2026-09-03T14:18:16.091557+00:00
475,1,100,0,0.00,PHYSICAL_POWER_OFF_CONFIRMED_BY_OPERATOR,2026-09-03T14:18:47.487207+00:00
476,1,100,100,28.57,,2026-09-03T14:19:19.000983+00:00
477,1,100,100,28.57,,2026-09-03T14:19:50.647035+00:00
478,1,100,100,28.57,,2026-09-03T14:20:21.906823+00:00
479,1,100,100,28.57,,2026-09-03T14:20:53.440635+00:00
480,1,100,100,28.57,,2026-09-03T14:21:24.645247+00:00
481,1,100,100,28.57,,2026-09-03T14:21:55.939976+00:00
482,1,100,100,28.57,,2026-09-03T14:22:27.240015+00:00
483,1,100,100,28.57,,2026-09-03T14:22:58.889774+00:00
484,1,0,0,0.00,,2026-09-03T14:23:30.084587+00:00
485,1,0,0,0.00,,2026-09-03T14:24:01.304508+00:00
486,1,0,0,0.00,,2026-09-03T14:24:32.789376+00:00
487,1,0,0,0.00,,2026-09-03T14:25:03.979296+00:00
488,1,0,0,0.00,,2026-09-03T14:25:35.274291+00:00
489,1,0,0,0.00,,2026-09-03T14:26:06.730137+00:00
490,1,0,0,0.00,,2026-09-03T14:26:38.410271+00:00
491,1,0,0,0.00,,2026-09-03T14:27:09.858996+00:00
492,1,0,0,0.00,,2026-09-03T14:27:41.453749+00:00
493,1,0,0,0.00,,2026-09-03T14:28:13.013836+00:00
494,1,0,0,0.00,,2026-09-03T14:28:44.674257+00:00
495,1,0,0,0.00,,2026-09-03T14:29:16.194122+00:00
496,1,0,0,0.00,,2026-09-03T14:29:47.863390+00:00
497,1,0,0,0.00,,2026-09-03T14:30:19.614817+00:00
498,1,0,0,0.00,,2026-09-03T14:30:51.144342+00:00
499,1,0,0,0.00,,2026-09-03T14:31:22.628199+00:00
500,1,0,0,0.00,,2026-09-03T14:31:54.038109+00:00
