estimate_id,room_id,occupancy_state,estimated_count,probability,evidence_summary,estimated_at
5168,1,transition,,0.124,p(empty)=0.490 p(transition)=0.124 p(occupied)=0.386 quality=OK | CO2 기준선 대비 +307ppm; 재실 확률 0.39,2026-09-03T14:12:28.829106+00:00
5169,1,transition,,0.091,p(empty)=0.019 p(transition)=0.091 p(occupied)=0.889 quality=OK | 0초 전 움직임 감지; CO2 기준선 대비 +306ppm; 재실 확률 0.89,2026-09-03T14:13:00.497550+00:00
5170,1,occupied,,0.960,p(empty)=0.001 p(transition)=0.039 p(occupied)=0.960 quality=OK | 31초 전 움직임 감지; CO2 기준선 대비 +307ppm; 재실 확률 0.96,2026-09-03T14:13:31.992534+00:00
5171,1,occupied,,0.976,p(empty)=0.000 p(transition)=0.024 p(occupied)=0.976 quality=OK | 63초 전 움직임 감지; CO2 기준선 대비 +303ppm; 재실 확률 0.98,2026-09-03T14:14:03.388105+00:00
5172,1,occupied,,0.981,p(empty)=0.000 p(transition)=0.019 p(occupied)=0.981 quality=OK | 94초 전 움직임 감지; CO2 기준선 대비 +301ppm; 재실 확률 0.98,2026-09-03T14:14:35.147750+00:00
5173,1,occupied,,0.957,p(empty)=0.006 p(transition)=0.037 p(occupied)=0.957 quality=OK | CO2 기준선 대비 +305ppm; 재실 확률 0.96,2026-09-03T14:15:06.877811+00:00
5174,1,occupied,,0.939,p(empty)=0.014 p(transition)=0.047 p(occupied)=0.939 quality=OK | CO2 기준선 대비 +302ppm; 재실 확률 0.94,2026-09-03T14:15:38.678170+00:00
5175,1,occupied,,0.923,p(empty)=0.025 p(transition)=0.052 p(occupied)=0.923 quality=OK | CO2 기준선 대비 +301ppm; 재실 확률 0.92,2026-09-03T14:16:10.462804+00:00
5176,1,occupied,,0.908,p(empty)=0.038 p(transition)=0.055 p(occupied)=0.908 quality=OK | CO2 기준선 대비 +298ppm; 재실 확률 0.91,2026-09-03T14:16:42.072474+00:00
5177,1,occupied,,0.892,p(empty)=0.052 p(transition)=0.056 p(occupied)=0.892 quality=OK | CO2 기준선 대비 +303ppm; 재실 확률 0.89,2026-09-03T14:17:13.402273+00:00
5178,1,occupied,,0.875,p(empty)=0.069 p(transition)=0.057 p(occupied)=0.875 quality=OK | CO2 기준선 대비 +297ppm; 재실 확률 0.87,2026-09-03T14:17:44.706985+00:00
5179,1,occupied,,0.857,p(empty)=0.087 p(transition)=0.056 p(occupied)=0.857 quality=OK | CO2 기준선 대비 +295ppm; 재실 확률 0.86,2026-09-03T14:18:15.741564+00:00
