door_reading_id,device_id,door_state,flag,measured_at,received_at,raw_payload
26434,3,closed,ok,2026-09-03T14:12:01.337569+00:00,2026-09-03T14:12:01.517190+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26435,3,closed,ok,2026-09-03T14:12:02.350663+00:00,2026-09-03T14:12:02.524703+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26436,3,closed,ok,2026-09-03T14:12:03.362735+00:00,2026-09-03T14:12:03.754512+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26437,3,closed,ok,2026-09-03T14:12:04.892582+00:00,2026-09-03T14:12:05.144559+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26438,3,closed,ok,2026-09-03T14:12:05.385701+00:00,2026-09-03T14:12:05.644754+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26439,3,closed,ok,2026-09-03T14:12:06.397671+00:00,2026-09-03T14:12:06.609560+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26440,3,closed,ok,2026-09-03T14:12:07.410953+00:00,2026-09-03T14:12:07.604671+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26441,3,closed,ok,2026-09-03T14:12:08.421676+00:00,2026-09-03T14:12:08.824477+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26442,3,closed,ok,2026-09-03T14:12:09.912585+00:00,2026-09-03T14:12:10.225158+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26443,3,closed,ok,2026-09-03T14:12:10.446139+00:00,2026-09-03T14:12:10.704658+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26444,3,closed,ok,2026-09-03T14:12:11.459182+00:00,2026-09-03T14:12:11.660027+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26445,3,closed,ok,2026-09-03T14:12:12.469703+00:00,2026-09-03T14:12:12.644602+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26446,3,closed,ok,2026-09-03T14:12:13.481804+00:00,2026-09-03T14:12:13.855308+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26447,3,closed,ok,2026-09-03T14:12:14.957600+00:00,2026-09-03T14:12:15.277587+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26448,3,closed,ok,2026-09-03T14:12:15.509573+00:00,2026-09-03T14:12:15.760078+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26449,3,closed,ok,2026-09-03T14:12:16.517864+00:00,2026-09-03T14:12:16.709847+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26450,3,closed,ok,2026-09-03T14:12:17.532832+00:00,2026-09-03T14:12:17.804934+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26451,3,closed,ok,2026-09-03T14:12:18.541645+00:00,2026-09-03T14:12:18.864708+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26452,3,closed,ok,2026-09-03T14:12:19.979175+00:00,2026-09-03T14:12:20.304715+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26453,3,closed,ok,2026-09-03T14:12:20.566959+00:00,2026-09-03T14:12:20.754668+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26454,3,closed,ok,2026-09-03T14:12:21.577802+00:00,2026-09-03T14:12:21.780197+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26455,3,closed,ok,2026-09-03T14:12:22.590255+00:00,2026-09-03T14:12:22.905426+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26456,3,closed,ok,2026-09-03T14:12:23.601755+00:00,2026-09-03T14:12:24.003629+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
