reading_id,device_id,temperature,humidity,co2,temp_flag,humidity_flag,co2_flag,measured_at,received_at,raw_payload
15992,1,24.41,70.94,809,ok,ok,ok,2026-09-03T14:12:04.224792+00:00,2026-09-03T14:12:04.405810+00:00,"{""co2_ppm"": 809, ""humidity_rh"": 70.93767, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.40986, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 1802013, ""wifi_rssi"": -53}"
15995,1,24.39,70.97,808,ok,ok,ok,2026-09-03T14:12:09.267735+00:00,2026-09-03T14:12:09.449708+00:00,"{""co2_ppm"": 808, ""humidity_rh"": 70.96666, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.38582, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 1807053, ""wifi_rssi"": -52}"
15998,1,24.40,71.03,807,ok,ok,ok,2026-09-03T14:12:14.304635+00:00,2026-09-03T14:12:14.485006+00:00,"{""co2_ppm"": 807, ""humidity_rh"": 71.03227, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.39918, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 1812093, ""wifi_rssi"": -53}"
16001,1,24.40,71.00,806,ok,ok,ok,2026-09-03T14:12:19.344693+00:00,2026-09-03T14:12:19.535625+00:00,"{""co2_ppm"": 806, ""humidity_rh"": 71.00481, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.39918, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 1817133, ""wifi_rssi"": -55}"
16004,1,24.40,71.07,807,ok,ok,ok,2026-09-03T14:12:24.384558+00:00,2026-09-03T14:12:24.580287+00:00,"{""co2_ppm"": 807, ""humidity_rh"": 71.06889, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.39651, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 1822173, ""wifi_rssi"": -53}"
16007,1,24.38,71.08,808,ok,ok,ok,2026-09-03T14:12:29.428212+00:00,2026-09-03T14:12:29.589976+00:00,"{""co2_ppm"": 808, ""humidity_rh"": 71.075, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.38315, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 1827213, ""wifi_rssi"": -54}"
16010,1,24.39,71.09,808,ok,ok,ok,2026-09-03T14:12:34.467350+00:00,2026-09-03T14:12:34.584502+00:00,"{""co2_ppm"": 808, ""humidity_rh"": 71.09178, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.38582, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 1832254, ""wifi_rssi"": -52}"
16013,1,24.39,71.13,808,ok,ok,ok,2026-09-03T14:12:39.505490+00:00,2026-09-03T14:12:39.714724+00:00,"{""co2_ppm"": 808, ""humidity_rh"": 71.13298, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.39384, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 1837294, ""wifi_rssi"": -58}"
16016,1,24.38,71.14,808,ok,ok,ok,2026-09-03T14:12:44.545532+00:00,2026-09-03T14:12:44.665750+00:00,"{""co2_ppm"": 808, ""humidity_rh"": 71.14061, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.38048, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 1842334, ""wifi_rssi"": -57}"
16019,1,24.40,71.20,807,ok,ok,ok,2026-09-03T14:12:49.588754+00:00,2026-09-03T14:12:49.785435+00:00,"{""co2_ppm"": 807, ""humidity_rh"": 71.2047, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.39651, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 1847374, ""wifi_rssi"": -63}"
